"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"California"	"06"	"2001"	"2001"	62402	30827812	202.42
	"California"	"06"	"2002"	"2002"	63258	31179738	202.88
	"California"	"06"	"2003"	"2003"	65596	31507778	208.19
	"California"	"06"	"2004"	"2004"	64886	31791192	204.10
	"California"	"06"	"2005"	"2005"	66575	31988690	208.12
	"California"	"06"	"2006"	"2006"	67027	32148624	208.49
	"California"	"06"	"2007"	"2007"	66745	32303075	206.62
	"California"	"06"	"2008"	"2008"	65509	32547577	201.27
	"California"	"06"	"2009"	"2009"	65945	32796736	201.07
	"California"	"06"	"2010"	"2010"	63808	33007442	193.31
	"California"	"06"	"2011"	"2011"	65422	33293288	196.50
	"California"	"06"	"2012"	"2012"	65519	33441345	195.92
	"California"	"06"	"2013"	"2013"	66000	33540790	196.78
	"California"	"06"	"2014"	"2014"	66273	33809453	196.02
	"California"	"06"	"2015"	"2015"	67777	33956064	199.60
	"California"	"06"	"2016"	"2016"	68929	33903382	203.31
"Total"	"California"	"06"			1171535	582257273	201.21
	"Colorado"	"08"	"1999"	"1999"	7504	3815244	196.68
	"Colorado"	"08"	"2000"	"2000"	7624	3885188	196.23
	"Colorado"	"08"	"2001"	"2001"	7988	4000246	199.69
	"Colorado"	"08"	"2002"	"2002"	8367	4058609	206.15
	"Colorado"	"08"	"2003"	"2003"	8616	4088517	210.74
	"Colorado"	"08"	"2004"	"2004"	8508	4124950	206.26
	"Colorado"	"08"	"2005"	"2005"	8731	4170304	209.36
	"Colorado"	"08"	"2006"	"2006"	8752	4241357	206.35
	"Colorado"	"08"	"2007"	"2007"	8978	4308909	208.36
	"Colorado"	"08"	"2008"	"2008"	9356	4375595	213.82
	"Colorado"	"08"	"2009"	"2009"	9565	4437815	215.53
	"Colorado"	"08"	"2010"	"2010"	9321	4479571	208.08
	"Colorado"	"08"	"2011"	"2011"	9803	4540976	215.88
	"Colorado"	"08"	"2012"	"2012"	9735	4574341	212.82
	"Colorado"	"08"	"2013"	"2013"	9741	4620976	210.80
	"Colorado"	"08"	"2014"	"2014"	10058	4675851	215.11
	"Colorado"	"08"	"2015"	"2015"	10243	4744949	215.87
	"Colorado"	"08"	"2016"	"2016"	10736	4797021	223.81
"Total"	"Colorado"	"08"			163626	77940419	209.94
	"Connecticut"	"09"	"1999"	"1999"	6121	2917045	209.84
	"Connecticut"	"09"	"2000"	"2000"	6437	2935382	219.29
	"Connecticut"	"09"	"2001"	"2001"	6317	2961859	213.28
	"Connecticut"	"09"	"2002"	"2002"	6413	2987064	214.69
	"Connecticut"	"09"	"2003"	"2003"	6437	3010086	213.85
	"Connecticut"	"09"	"2004"	"2004"	6364	3021467	210.63
	"Connecticut"	"09"	"2005"	"2005"	6317	3031537	208.38
	"Connecticut"	"09"	"2006"	"2006"	6340	3041185	208.47
	"Connecticut"	"09"	"2007"	"2007"	6327	3045730	207.73
	"Connecticut"	"09"	"2008"	"2008"	6306	3052985	206.55
	"Connecticut"	"09"	"2009"	"2009"	6287	3061342	205.37
	"Connecticut"	"09"	"2010"	"2010"	6301	3067538	205.41
	"Connecticut"	"09"	"2011"	"2011"	6325	3065250	206.35
	"Connecticut"	"09"	"2012"	"2012"	6431	3057635	210.33
	"Connecticut"	"09"	"2013"	"2013"	6435	3050409	210.96
	"Connecticut"	"09"	"2014"	"2014"	6337	3040754	208.40
	"Connecticut"	"09"	"2015"	"2015"	6624	3024080	219.04
	"Connecticut"	"09"	"2016"	"2016"	6721	2999049	224.10
"Total"	"Connecticut"	"09"			114840	54370397	211.22
	"Delaware"	"10"	"1999"	"1999"	1678	674406	248.81
	"Delaware"	"10"	"2000"	"2000"	1822	681874	267.20
	"Delaware"	"10"	"2001"	"2001"	1935	692263	279.52
	"Delaware"	"10"	"2002"	"2002"	1835	701107	261.73
	"Delaware"	"10"	"2003"	"2003"	1946	710949	273.72
	"Delaware"	"10"	"2004"	"2004"	1970	721396	273.08
	"Delaware"	"10"	"2005"	"2005"	2012	733071	274.46
	"Delaware"	"10"	"2006"	"2006"	2077	743440	279.38
	"Delaware"	"10"	"2007"	"2007"	2030	752544	269.75
	"Delaware"	"10"	"2008"	"2008"	2173	760158	285.86
	"Delaware"	"10"	"2009"	"2009"	2109	764979	275.69
	"Delaware"	"10"	"2010"	"2010"	2156	768657	280.49
	"Delaware"	"10"	"2011"	"2011"	2158	773671	278.93
	"Delaware"	"10"	"2012"	"2012"	2211	776618	284.70
	"Delaware"	"10"	"2013"	"2013"	2276	778265	292.45
	"Delaware"	"10"	"2014"	"2014"	2172	781707	277.85
	"Delaware"	"10"	"2015"	"2015"	2285	785419	290.93
	"Delaware"	"10"	"2016"	"2016"	2318	785115	295.24
"Total"	"Delaware"	"10"			37163	13385639	277.63
	"District of Columbia"	"11"	"1999"	"1999"	2191	500064	438.14
	"District of Columbia"	"11"	"2000"	"2000"	2184	502161	434.92
	"District of Columbia"	"11"	"2001"	"2001"	2224	505659	439.82
	"District of Columbia"	"11"	"2002"	"2002"	2226	505144	440.67
	"District of Columbia"	"11"	"2003"	"2003"	2162	501130	431.42
	"District of Columbia"	"11"	"2004"	"2004"	2051	500900	409.46
	"District of Columbia"	"11"	"2005"	"2005"	2091	500534	417.75
	"District of Columbia"	"11"	"2006"	"2006"	2008	504715	397.85
	"District of Columbia"	"11"	"2007"	"2007"	1952	508172	384.12
	"District of Columbia"	"11"	"2008"	"2008"	1981	513451	385.82
	"District of Columbia"	"11"	"2009"	"2009"	1792	524428	341.71
	"District of Columbia"	"11"	"2010"	"2010"	1699	532914	318.81
	"District of Columbia"	"11"	"2011"	"2011"	1676	547817	305.94
	"District of Columbia"	"11"	"2012"	"2012"	1603	560434	286.03
	"District of Columbia"	"11"	"2013"	"2013"	1595	573027	278.35
	"District of Columbia"	"11"	"2014"	"2014"	1690	584139	289.31
	"District of Columbia"	"11"	"2015"	"2015"	1768	595224	297.03
	"District of Columbia"	"11"	"2016"	"2016"	1851	602479	307.23
"Total"	"District of Columbia"	"11"			34744	9562392	363.34
	"Florida"	"12"	"1999"	"1999"	36079	12961315	278.36
	"Florida"	"12"	"2000"	"2000"	37382	13174781	283.74
	"Florida"	"12"	"2001"	"2001"	38400	13523167	283.96
	"Florida"	"12"	"2002"	"2002"	39571	13831245	286.10
	"Florida"	"12"	"2003"	"2003"	41182	14114851	291.76
	"Florida"	"12"	"2004"	"2004"	41877	14483008	289.15
	"Florida"	"12"	"2005"	"2005"	43077	14860951	289.87
	"Florida"	"12"	"2006"	"2006"	44019	15162656	290.31
	"Florida"	"12"	"2007"	"2007"	43898	15314666	286.64
	"Florida"	"12"	"2008"	"2008"	44174	15392301	286.99
	"Florida"	"12"	"2009"	"2009"	43918	15446929	284.32
	"Florida"	"12"	"2010"	"2010"	43634	15541708	280.75
	"Florida"	"12"	"2011"	"2011"	43704	15697347	278.42
	"Florida"	"12"	"2012"	"2012"	43849	15807853	277.39
	"Florida"	"12"	"2013"	"2013"	43929	15905243	276.19
	"Florida"	"12"	"2014"	"2014"	45229	16101753	280.89
	"Florida"	"12"	"2015"	"2015"	46990	16328804	287.77
	"Florida"	"12"	"2016"	"2016"	49720	16517522	301.01
"Total"	"Florida"	"12"			770632	270166100	285.24
	"Georgia"	"13"	"1999"	"1999"	19795	7267136	272.39
	"Georgia"	"13"	"2000"	"2000"	20422	7401178	275.93
	"Georgia"	"13"	"2001"	"2001"	21091	7577019	278.35
	"Georgia"	"13"	"2002"	"2002"	21668	7695882	281.55
	"Georgia"	"13"	"2003"	"2003"	22262	7795137	285.59
	"Georgia"	"13"	"2004"	"2004"	22452	7926569	283.25
	"Georgia"	"13"	"2005"	"2005"	22863	8057367	283.75
	"Georgia"	"13"	"2006"	"2006"	23373	8250040	283.31
	"Georgia"	"13"	"2007"	"2007"	23382	8415001	277.86
	"Georgia"	"13"	"2008"	"2008"	23477	8532505	275.15
	"Georgia"	"13"	"2009"	"2009"	23671	8614189	274.79
	"Georgia"	"13"	"2010"	"2010"	23642	8655618	273.14
	"Georgia"	"13"	"2011"	"2011"	23701	8737698	271.25
	"Georgia"	"13"	"2012"	"2012"	23602	8780246	268.81
	"Georgia"	"13"	"2013"	"2013"	24457	8796212	278.04
	"Georgia"	"13"	"2014"	"2014"	24754	8845805	279.84
	"Georgia"	"13"	"2015"	"2015"	25434	8909936	285.46
	"Georgia"	"13"	"2016"	"2016"	26381	8955709	294.57
"Total"	"Georgia"	"13"			416427	149213247	279.08
	"Hawaii"	"15"	"1999"	"1999"	2137	1051856	203.16
	"Hawaii"	"15"	"2000"	"2000"	2193	1050936	208.67
	"Hawaii"	"15"	"2001"	"2001"	2246	1062562	211.38
	"Hawaii"	"15"	"2002"	"2002"	2286	1074160	212.82
	"Hawaii"	"15"	"2003"	"2003"	2305	1083183	212.80
	"Hawaii"	"15"	"2004"	"2004"	2349	1103102	212.94
	"Hawaii"	"15"	"2005"	"2005"	2488	1118493	222.44
	"Hawaii"	"15"	"2006"	"2006"	2540	1132924	224.20
	"Hawaii"	"15"	"2007"	"2007"	2512	1136101	221.11
	"Hawaii"	"15"	"2008"	"2008"	2482	1147752	216.25
	"Hawaii"	"15"	"2009"	"2009"	2647	1156338	228.91
	"Hawaii"	"15"	"2010"	"2010"	2557	1165163	219.45
	"Hawaii"	"15"	"2011"	"2011"	2645	1172266	225.63
	"Hawaii"	"15"	"2012"	"2012"	2633	1181512	222.85
	"Hawaii"	"15"	"2013"	"2013"	2624	1184497	221.53
	"Hawaii"	"15"	"2014"	"2014"	2704	1191407	226.96
	"Hawaii"	"15"	"2015"	"2015"	2688	1194689	225.00
	"Hawaii"	"15"	"2016"	"2016"	2676	1184595	225.90
"Total"	"Hawaii"	"15"			44712	20391536	219.27
	"Idaho"	"16"	"1999"	"1999"	2277	1131514	201.23
	"Idaho"	"16"	"2000"	"2000"	2270	1148037	197.73
	"Idaho"	"16"	"2001"	"2001"	2421	1171114	206.73
	"Idaho"	"16"	"2002"	"2002"	2463	1188547	207.23
	"Idaho"	"16"	"2003"	"2003"	2646	1208290	218.99
	"Idaho"	"16"	"2004"	"2004"	2592	1232741	210.26
	"Idaho"	"16"	"2005"	"2005"	2617	1264109	207.02
	"Idaho"	"16"	"2006"	"2006"	2770	1297923	213.42
	"Idaho"	"16"	"2007"	"2007"	2807	1328744	211.25
	"Idaho"	"16"	"2008"	"2008"	2833	1351142	209.67
	"Idaho"	"16"	"2009"	"2009"	2982	1364716	218.51
	"Idaho"	"16"	"2010"	"2010"	2916	1372914	212.39
	"Idaho"	"16"	"2011"	"2011"	3019	1382552	218.36
	"Idaho"	"16"	"2012"	"2012"	2974	1383150	215.02
	"Idaho"	"16"	"2013"	"2013"	3255	1388994	234.34
	"Idaho"	"16"	"2014"	"2014"	3184	1401088	227.25
	"Idaho"	"16"	"2015"	"2015"	3264	1411436	231.25
	"Idaho"	"16"	"2016"	"2016"	3329	1428151	233.10
"Total"	"Idaho"	"16"			50619	23455162	215.81
	"Illinois"	"17"	"1999"	"1999"	26830	10859179	247.07
	"Illinois"	"17"	"2000"	"2000"	26529	10919268	242.96
	"Illinois"	"17"	"2001"	"2001"	26827	10987443	244.16
	"Illinois"	"17"	"2002"	"2002"	27136	11026613	246.10
	"Illinois"	"17"	"2003"	"2003"	26745	11050463	242.03
	"Illinois"	"17"	"2004"	"2004"	26563	11078454	239.77
	"Illinois"	"17"	"2005"	"2005"	26783	11092586	241.45
	"Illinois"	"17"	"2006"	"2006"	26652	11120602	239.66
	"Illinois"	"17"	"2007"	"2007"	26545	11153482	238.00
	"Illinois"	"17"	"2008"	"2008"	27056	11177521	242.06
	"Illinois"	"17"	"2009"	"2009"	26709	11204772	238.37
	"Illinois"	"17"	"2010"	"2010"	26170	11221419	233.21
	"Illinois"	"17"	"2011"	"2011"	26371	11228492	234.86
	"Illinois"	"17"	"2012"	"2012"	26705	11180818	238.85
	"Illinois"	"17"	"2013"	"2013"	26322	11138494	236.32
	"Illinois"	"17"	"2014"	"2014"	26848	11092047	242.05
	"Illinois"	"17"	"2015"	"2015"	27251	11029718	247.07
	"Illinois"	"17"	"2016"	"2016"	27903	10930275	255.28
"Total"	"Illinois"	"17"			481945	199491646	241.59
	"Indiana"	"18"	"1999"	"1999"	13337	5294058	251.92
	"Indiana"	"18"	"2000"	"2000"	13626	5327654	255.76
	"Indiana"	"18"	"2001"	"2001"	13768	5371665	256.31
	"Indiana"	"18"	"2002"	"2002"	13998	5398010	259.32
	"Indiana"	"18"	"2003"	"2003"	14447	5432301	265.95
	"Indiana"	"18"	"2004"	"2004"	14252	5463770	260.85
	"Indiana"	"18"	"2005"	"2005"	14664	5502355	266.50
	"Indiana"	"18"	"2006"	"2006"	15201	5545232	274.13
	"Indiana"	"18"	"2007"	"2007"	14840	5579691	265.96
	"Indiana"	"18"	"2008"	"2008"	15320	5607174	273.22
	"Indiana"	"18"	"2009"	"2009"	15543	5628577	276.14
	"Indiana"	"18"	"2010"	"2010"	15642	5642694	277.21
	"Indiana"	"18"	"2011"	"2011"	16169	5658835	285.73
	"Indiana"	"18"	"2012"	"2012"	16195	5648186	286.73
	"Indiana"	"18"	"2013"	"2013"	16528	5655869	292.23
	"Indiana"	"18"	"2014"	"2014"	16804	5655411	297.13
	"Indiana"	"18"	"2015"	"2015"	17220	5653553	304.59
	"Indiana"	"18"	"2016"	"2016"	17791	5641490	315.36
"Total"	"Indiana"	"18"			275345	99706525	276.16
	"Iowa"	"19"	"1999"	"1999"	5060	2480632	203.98
	"Iowa"	"19"	"2000"	"2000"	5142	2490111	206.50
	"Iowa"	"19"	"2001"	"2001"	5016	2496233	200.94
	"Iowa"	"19"	"2002"	"2002"	5069	2499804	202.78
	"Iowa"	"19"	"2003"	"2003"	5485	2507275	218.76
	"Iowa"	"19"	"2004"	"2004"	5226	2518213	207.53
	"Iowa"	"19"	"2005"	"2005"	5474	2528395	216.50
	"Iowa"	"19"	"2006"	"2006"	5487	2544109	215.67
	"Iowa"	"19"	"2007"	"2007"	5634	2557029	220.33
	"Iowa"	"19"	"2008"	"2008"	5884	2569944	228.95
	"Iowa"	"19"	"2009"	"2009"	5778	2582744	223.72
	"Iowa"	"19"	"2010"	"2010"	5878	2593467	226.65
	"Iowa"	"19"	"2011"	"2011"	5972	2604571	229.29
	"Iowa"	"19"	"2012"	"2012"	6088	2603881	233.80
	"Iowa"	"19"	"2013"	"2013"	6122	2609537	234.60
	"Iowa"	"19"	"2014"	"2014"	6151	2615777	235.15
	"Iowa"	"19"	"2015"	"2015"	6174	2621022	235.56
	"Iowa"	"19"	"2016"	"2016"	6513	2620478	248.54
"Total"	"Iowa"	"19"			102153	46043222	221.86
	"Kansas"	"20"	"1999"	"1999"	5276	2321650	227.25
	"Kansas"	"20"	"2000"	"2000"	5143	2332189	220.52
	"Kansas"	"20"	"2001"	"2001"	5375	2346559	229.06
	"Kansas"	"20"	"2002"	"2002"	5568	2359151	236.02
	"Kansas"	"20"	"2003"	"2003"	5550	2368366	234.34
	"Kansas"	"20"	"2004"	"2004"	5639	2378627	237.07
	"Kansas"	"20"	"2005"	"2005"	5825	2388314	243.90
	"Kansas"	"20"	"2006"	"2006"	5886	2403523	244.89
	"Kansas"	"20"	"2007"	"2007"	5877	2421273	242.72
	"Kansas"	"20"	"2008"	"2008"	5973	2440751	244.72
	"Kansas"	"20"	"2009"	"2009"	6056	2460601	246.12
	"Kansas"	"20"	"2010"	"2010"	6152	2477002	248.36
	"Kansas"	"20"	"2011"	"2011"	6267	2488577	251.83
	"Kansas"	"20"	"2012"	"2012"	6275	2491636	251.84
	"Kansas"	"20"	"2013"	"2013"	6207	2488894	249.39
	"Kansas"	"20"	"2014"	"2014"	6349	2488562	255.13
	"Kansas"	"20"	"2015"	"2015"	6529	2485231	262.71
	"Kansas"	"20"	"2016"	"2016"	6481	2470296	262.36
"Total"	"Kansas"	"20"			106428	43611202	244.04
	"Kentucky"	"21"	"1999"	"1999"	10136	3515736	288.30
	"Kentucky"	"21"	"2000"	"2000"	10346	3536976	292.51
	"Kentucky"	"21"	"2001"	"2001"	10767	3560975	302.36
	"Kentucky"	"21"	"2002"	"2002"	11222	3581257	313.35
	"Kentucky"	"21"	"2003"	"2003"	11436	3603436	317.36
	"Kentucky"	"21"	"2004"	"2004"	11353	3627332	312.98
	"Kentucky"	"21"	"2005"	"2005"	11700	3654875	320.12
	"Kentucky"	"21"	"2006"	"2006"	11826	3680954	321.28
	"Kentucky"	"21"	"2007"	"2007"	11909	3708626	321.12
	"Kentucky"	"21"	"2008"	"2008"	12099	3729216	324.44
	"Kentucky"	"21"	"2009"	"2009"	12774	3746536	340.95
	"Kentucky"	"21"	"2010"	"2010"	12804	3761140	340.43
	"Kentucky"	"21"	"2011"	"2011"	12985	3777505	343.75
	"Kentucky"	"21"	"2012"	"2012"	13455	3765762	357.30
	"Kentucky"	"21"	"2013"	"2013"	13023	3761043	346.26
	"Kentucky"	"21"	"2014"	"2014"	13654	3758943	363.24
	"Kentucky"	"21"	"2015"	"2015"	14265	3752327	380.16
	"Kentucky"	"21"	"2016"	"2016"	14770	3746257	394.26
"Total"	"Kentucky"	"21"			220524	66268896	332.77
	"Louisiana"	"22"	"1999"	"1999"	12408	3946867	314.38
	"Louisiana"	"22"	"2000"	"2000"	12821	3952047	324.41
	"Louisiana"	"22"	"2001"	"2001"	13094	3958975	330.74
	"Louisiana"	"22"	"2002"	"2002"	13317	3975723	334.96
	"Louisiana"	"22"	"2003"	"2003"	13677	3995303	342.33
	"Louisiana"	"22"	"2004"	"2004"	13957	4022989	346.93
	"Louisiana"	"22"	"2005"	"2005"	14671	4041687	362.99
	"Louisiana"	"22"	"2006"	"2006"	13629	3786905	359.90
	"Louisiana"	"22"	"2007"	"2007"	13574	3850585	352.52
	"Louisiana"	"22"	"2008"	"2008"	13750	3897723	352.77
	"Louisiana"	"22"	"2009"	"2009"	13550	3942506	343.69
	"Louisiana"	"22"	"2010"	"2010"	13403	3975515	337.14
	"Louisiana"	"22"	"2011"	"2011"	13348	4002396	333.50
	"Louisiana"	"22"	"2012"	"2012"	13698	4006688	341.88
	"Louisiana"	"22"	"2013"	"2013"	14286	4011984	356.08
	"Louisiana"	"22"	"2014"	"2014"	14459	4016782	359.96
	"Louisiana"	"22"	"2015"	"2015"	14530	4017630	361.66
	"Louisiana"	"22"	"2016"	"2016"	14613	4007223	364.67
"Total"	"Louisiana"	"22"			246785	71409528	345.59
	"Maine"	"23"	"1999"	"1999"	2433	1085127	224.21
	"Maine"	"23"	"2000"	"2000"	2489	1091521	228.03
	"Maine"	"23"	"2001"	"2001"	2512	1100526	228.25
	"Maine"	"23"	"2002"	"2002"	2666	1109292	240.33
	"Maine"	"23"	"2003"	"2003"	2721	1118273	243.32
	"Maine"	"23"	"2004"	"2004"	2685	1123883	238.90
	"Maine"	"23"	"2005"	"2005"	2920	1127407	259.00
	"Maine"	"23"	"2006"	"2006"	2942	1129172	260.54
	"Maine"	"23"	"2007"	"2007"	2872	1129036	254.38
	"Maine"	"23"	"2008"	"2008"	2863	1127171	254.00
	"Maine"	"23"	"2009"	"2009"	2833	1121920	252.51
	"Maine"	"23"	"2010"	"2010"	2916	1117281	260.99
	"Maine"	"23"	"2011"	"2011"	2937	1111970	264.13
	"Maine"	"23"	"2012"	"2012"	2977	1102816	269.95
	"Maine"	"23"	"2013"	"2013"	2972	1093235	271.85
	"Maine"	"23"	"2014"	"2014"	3000	1086582	276.10
	"Maine"	"23"	"2015"	"2015"	3160	1078792	292.92
	"Maine"	"23"	"2016"	"2016"	3239	1073796	301.64
"Total"	"Maine"	"23"			51137	19927800	256.61
	"Maryland"	"24"	"1999"	"1999"	12194	4659489	261.70
	"Maryland"	"24"	"2000"	"2000"	12405	4697179	264.09
	"Maryland"	"24"	"2001"	"2001"	12663	4766139	265.69
	"Maryland"	"24"	"2002"	"2002"	12886	4825430	267.04
	"Maryland"	"24"	"2003"	"2003"	13135	4873273	269.53
	"Maryland"	"24"	"2004"	"2004"	13008	4916430	264.58
	"Maryland"	"24"	"2005"	"2005"	13045	4953873	263.33
	"Maryland"	"24"	"2006"	"2006"	13194	4981047	264.88
	"Maryland"	"24"	"2007"	"2007"	13148	4994855	263.23
	"Maryland"	"24"	"2008"	"2008"	12807	5006707	255.80
	"Maryland"	"24"	"2009"	"2009"	13001	5035405	258.19
	"Maryland"	"24"	"2010"	"2010"	12479	5065910	246.33
	"Maryland"	"24"	"2011"	"2011"	12446	5098801	244.10
	"Maryland"	"24"	"2012"	"2012"	12657	5121544	247.13
	"Maryland"	"24"	"2013"	"2013"	12755	5133833	248.45
	"Maryland"	"24"	"2014"	"2014"	12916	5154147	250.59
	"Maryland"	"24"	"2015"	"2015"	13302	5156830	257.95
	"Maryland"	"24"	"2016"	"2016"	14245	5140237	277.13
"Total"	"Maryland"	"24"			232286	89581129	259.30
	"Massachusetts"	"25"	"1999"	"1999"	10836	5459001	198.50
	"Massachusetts"	"25"	"2000"	"2000"	11203	5488935	204.10
	"Massachusetts"	"25"	"2001"	"2001"	11609	5540287	209.54
	"Massachusetts"	"25"	"2002"	"2002"	11881	5562194	213.60
	"Massachusetts"	"25"	"2003"	"2003"	12036	5568936	216.13
	"Massachusetts"	"25"	"2004"	"2004"	11668	5561375	209.80
	"Massachusetts"	"25"	"2005"	"2005"	11570	5553275	208.35
	"Massachusetts"	"25"	"2006"	"2006"	11648	5558852	209.54
	"Massachusetts"	"25"	"2007"	"2007"	11673	5571376	209.52
	"Massachusetts"	"25"	"2008"	"2008"	11324	5591793	202.51
	"Massachusetts"	"25"	"2009"	"2009"	11696	5625927	207.89
	"Massachusetts"	"25"	"2010"	"2010"	11515	5644905	203.99
	"Massachusetts"	"25"	"2011"	"2011"	11647	5665647	205.57
	"Massachusetts"	"25"	"2012"	"2012"	11498	5687650	202.16
	"Massachusetts"	"25"	"2013"	"2013"	11856	5703512	207.87
	"Massachusetts"	"25"	"2014"	"2014"	12355	5729171	215.65
	"Massachusetts"	"25"	"2015"	"2015"	12777	5749200	222.24
	"Massachusetts"	"25"	"2016"	"2016"	12948	5737815	225.66
"Total"	"Massachusetts"	"25"			211740	100999851	209.64
	"Michigan"	"26"	"1999"	"1999"	22168	8682543	255.32
	"Michigan"	"26"	"2000"	"2000"	22110	8719426	253.57
	"Michigan"	"26"	"2001"	"2001"	22307	8764861	254.50
	"Michigan"	"26"	"2002"	"2002"	22844	8785547	260.02
	"Michigan"	"26"	"2003"	"2003"	22806	8802578	259.08
	"Michigan"	"26"	"2004"	"2004"	22544	8808272	255.94
