"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2005"	"2005"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	154	3967703	3.88
	"Alabama"	"01"	"2005"	"2005"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	436	3967703	10.99
	"Alabama"	"01"	"2006"	"2006"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	484	4015901	12.05
	"Alabama"	"01"	"2006"	"2006"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1481	4015901	36.88
	"Alabama"	"01"	"2006"	"2006"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	498	4015901	12.40
	"Alabama"	"01"	"2006"	"2006"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	141	4015901	3.51
	"Alabama"	"01"	"2006"	"2006"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	480	4015901	11.95
	"Alabama"	"01"	"2007"	"2007"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	430	4050770	10.62
	"Alabama"	"01"	"2007"	"2007"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1384	4050770	34.17
	"Alabama"	"01"	"2007"	"2007"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	528	4050770	13.03
	"Alabama"	"01"	"2007"	"2007"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	158	4050770	3.90
	"Alabama"	"01"	"2007"	"2007"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	500	4050770	12.34
	"Alabama"	"01"	"2008"	"2008"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	475	4081262	11.64
	"Alabama"	"01"	"2008"	"2008"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1431	4081262	35.06
	"Alabama"	"01"	"2008"	"2008"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	541	4081262	13.26
	"Alabama"	"01"	"2008"	"2008"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	151	4081262	3.70
	"Alabama"	"01"	"2008"	"2008"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	515	4081262	12.62
	"Alabama"	"01"	"2009"	"2009"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	420	4108897	10.22
	"Alabama"	"01"	"2009"	"2009"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1523	4108897	37.07
	"Alabama"	"01"	"2009"	"2009"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	541	4108897	13.17
	"Alabama"	"01"	"2009"	"2009"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	201	4108897	4.89
	"Alabama"	"01"	"2009"	"2009"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	551	4108897	13.41
	"Alabama"	"01"	"2010"	"2010"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	443	4121944	10.75
	"Alabama"	"01"	"2010"	"2010"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1410	4121944	34.21
	"Alabama"	"01"	"2010"	"2010"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	528	4121944	12.81
	"Alabama"	"01"	"2010"	"2010"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	177	4121944	4.29
	"Alabama"	"01"	"2010"	"2010"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	562	4121944	13.63
	"Alabama"	"01"	"2011"	"2011"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	434	4130154	10.51
	"Alabama"	"01"	"2011"	"2011"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1532	4130154	37.09
	"Alabama"	"01"	"2011"	"2011"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	506	4130154	12.25
	"Alabama"	"01"	"2011"	"2011"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	170	4130154	4.12
	"Alabama"	"01"	"2011"	"2011"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	545	4130154	13.20
	"Alabama"	"01"	"2012"	"2012"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	460	4122643	11.16
	"Alabama"	"01"	"2012"	"2012"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1426	4122643	34.59
	"Alabama"	"01"	"2012"	"2012"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	549	4122643	13.32
	"Alabama"	"01"	"2012"	"2012"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	171	4122643	4.15
	"Alabama"	"01"	"2012"	"2012"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	594	4122643	14.41
	"Alabama"	"01"	"2013"	"2013"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	471	4112556	11.45
	"Alabama"	"01"	"2013"	"2013"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1409	4112556	34.26
	"Alabama"	"01"	"2013"	"2013"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	486	4112556	11.82
	"Alabama"	"01"	"2013"	"2013"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	231	4112556	5.62
	"Alabama"	"01"	"2013"	"2013"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	583	4112556	14.18
	"Alabama"	"01"	"2014"	"2014"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	489	4105445	11.91
	"Alabama"	"01"	"2014"	"2014"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1381	4105445	33.64
	"Alabama"	"01"	"2014"	"2014"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	505	4105445	12.30
	"Alabama"	"01"	"2014"	"2014"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	243	4105445	5.92
	"Alabama"	"01"	"2014"	"2014"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	593	4105445	14.44
	"Alabama"	"01"	"2015"	"2015"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	488	4094817	11.92
	"Alabama"	"01"	"2015"	"2015"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1376	4094817	33.60
	"Alabama"	"01"	"2015"	"2015"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	553	4094817	13.50
	"Alabama"	"01"	"2015"	"2015"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	208	4094817	5.08
	"Alabama"	"01"	"2015"	"2015"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	605	4094817	14.77
	"Alabama"	"01"	"2016"	"2016"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	440	4078749	10.79
	"Alabama"	"01"	"2016"	"2016"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1329	4078749	32.58
	"Alabama"	"01"	"2016"	"2016"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	552	4078749	13.53
	"Alabama"	"01"	"2016"	"2016"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	230	4078749	5.64
	"Alabama"	"01"	"2016"	"2016"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	632	4078749	15.49
	"Alaska"	"02"	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	21	590537	3.56
	"Alaska"	"02"	"1999"	"1999"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	125	590537	21.17
	"Alaska"	"02"	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	27	590537	4.57
	"Alaska"	"02"	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13	590537	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	88	590537	14.90
	"Alaska"	"02"	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	32	591233	5.41
	"Alaska"	"02"	"2000"	"2000"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	130	591233	21.99
	"Alaska"	"02"	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	38	591233	6.43
	"Alaska"	"02"	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	591233	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	133	591233	22.50
	"Alaska"	"02"	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	30	596299	5.03
	"Alaska"	"02"	"2001"	"2001"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	128	596299	21.47
	"Alaska"	"02"	"2001"	"2001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	35	596299	5.87
	"Alaska"	"02"	"2001"	"2001"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	11	596299	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	97	596299	16.27
	"Alaska"	"02"	"2002"	"2002"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	39	603469	6.46
	"Alaska"	"02"	"2002"	"2002"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	162	603469	26.84
	"Alaska"	"02"	"2002"	"2002"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	28	603469	4.64
	"Alaska"	"02"	"2002"	"2002"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	11	603469	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	124	603469	20.55
	"Alaska"	"02"	"2003"	"2003"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	38	608005	6.25
	"Alaska"	"02"	"2003"	"2003"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	119	608005	19.57
	"Alaska"	"02"	"2003"	"2003"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	44	608005	7.24
	"Alaska"	"02"	"2003"	"2003"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	11	608005	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	112	608005	18.42
	"Alaska"	"02"	"2004"	"2004"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	43	617138	6.97
	"Alaska"	"02"	"2004"	"2004"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	154	617138	24.95
	"Alaska"	"02"	"2004"	"2004"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	41	617138	6.64
	"Alaska"	"02"	"2004"	"2004"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	Suppressed	617138	Suppressed
	"Alaska"	"02"	"2004"	"2004"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	148	617138	23.98
	"Alaska"	"02"	"2005"	"2005"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	36	623001	5.78
	"Alaska"	"02"	"2005"	"2005"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	145	623001	23.27
	"Alaska"	"02"	"2005"	"2005"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	39	623001	6.26
	"Alaska"	"02"	"2005"	"2005"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	14	623001	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	123	623001	19.74
	"Alaska"	"02"	"2006"	"2006"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	44	629702	6.99
	"Alaska"	"02"	"2006"	"2006"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	112	629702	17.79
	"Alaska"	"02"	"2006"	"2006"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	50	629702	7.94
	"Alaska"	"02"	"2006"	"2006"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	15	629702	Unreliable
	"Alaska"	"02"	"2006"	"2006"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	127	629702	20.17
	"Alaska"	"02"	"2007"	"2007"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	44	632694	6.95
	"Alaska"	"02"	"2007"	"2007"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	118	632694	18.65
	"Alaska"	"02"	"2007"	"2007"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	21	632694	3.32
	"Alaska"	"02"	"2007"	"2007"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	12	632694	Unreliable
	"Alaska"	"02"	"2007"	"2007"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	136	632694	21.50
	"Alaska"	"02"	"2008"	"2008"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	27	637133	4.24
	"Alaska"	"02"	"2008"	"2008"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	123	637133	19.31
	"Alaska"	"02"	"2008"	"2008"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	46	637133	7.22
	"Alaska"	"02"	"2008"	"2008"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	16	637133	Unreliable
	"Alaska"	"02"	"2008"	"2008"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	158	637133	24.80
	"Alaska"	"02"	"2009"	"2009"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	32	646016	4.95
	"Alaska"	"02"	"2009"	"2009"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	183	646016	28.33
	"Alaska"	"02"	"2009"	"2009"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	37	646016	5.73
	"Alaska"	"02"	"2009"	"2009"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	17	646016	Unreliable
	"Alaska"	"02"	"2009"	"2009"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	132	646016	20.43
	"Alaska"	"02"	"2010"	"2010"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	23	655293	3.51
	"Alaska"	"02"	"2010"	"2010"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	154	655293	23.50
	"Alaska"	"02"	"2010"	"2010"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	41	655293	6.26
	"Alaska"	"02"	"2010"	"2010"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	19	655293	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	150	655293	22.89
	"Alaska"	"02"	"2011"	"2011"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	40	664505	6.02
	"Alaska"	"02"	"2011"	"2011"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	185	664505	27.84
	"Alaska"	"02"	"2011"	"2011"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	36	664505	5.42
	"Alaska"	"02"	"2011"	"2011"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	23	664505	3.46
	"Alaska"	"02"	"2011"	"2011"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	131	664505	19.71
	"Alaska"	"02"	"2012"	"2012"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	42	668952	6.28
	"Alaska"	"02"	"2012"	"2012"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	171	668952	25.56
	"Alaska"	"02"	"2012"	"2012"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	41	668952	6.13
	"Alaska"	"02"	"2012"	"2012"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	23	668952	3.44
	"Alaska"	"02"	"2012"	"2012"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	155	668952	23.17
	"Alaska"	"02"	"2013"	"2013"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	43	669043	6.43
	"Alaska"	"02"	"2013"	"2013"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	142	669043	21.22
	"Alaska"	"02"	"2013"	"2013"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	43	669043	6.43
	"Alaska"	"02"	"2013"	"2013"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	17	669043	Unreliable
	"Alaska"	"02"	"2013"	"2013"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	155	669043	23.17
	"Alaska"	"02"	"2014"	"2014"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	46	667319	6.89
	"Alaska"	"02"	"2014"	"2014"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	178	667319	26.67
	"Alaska"	"02"	"2014"	"2014"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	37	667319	5.54
	"Alaska"	"02"	"2014"	"2014"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	15	667319	Unreliable
	"Alaska"	"02"	"2014"	"2014"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	159	667319	23.83
	"Alaska"	"02"	"2015"	"2015"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	51	665595	7.66
	"Alaska"	"02"	"2015"	"2015"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	186	665595	27.94
	"Alaska"	"02"	"2015"	"2015"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	45	665595	6.76
	"Alaska"	"02"	"2015"	"2015"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	Suppressed	665595	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	190	665595	28.55
	"Alaska"	"02"	"2016"	"2016"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	43	664688	6.47
	"Alaska"	"02"	"2016"	"2016"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	183	664688	27.53
	"Alaska"	"02"	"2016"	"2016"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	33	664688	4.96
	"Alaska"	"02"	"2016"	"2016"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	12	664688	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	181	664688	27.23
	"Arizona"	"04"	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	309	4363812	7.08
	"Arizona"	"04"	"1999"	"1999"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1335	4363812	30.59
	"Arizona"	"04"	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	287	4363812	6.58
	"Arizona"	"04"	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	185	4363812	4.24
	"Arizona"	"04"	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	602	4363812	13.80
	"Arizona"	"04"	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	289	4462793	6.48
	"Arizona"	"04"	"2000"	"2000"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1298	4462793	29.08
	"Arizona"	"04"	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	300	4462793	6.72
	"Arizona"	"04"	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	190	4462793	4.26
	"Arizona"	"04"	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	622	4462793	13.94
	"Arizona"	"04"	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	323	4590244	7.04
	"Arizona"	"04"	"2001"	"2001"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1292	4590244	28.15
	"Arizona"	"04"	"2001"	"2001"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	284	4590244	6.19
	"Arizona"	"04"	"2001"	"2001"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	160	4590244	3.49
	"Arizona"	"04"	"2001"	"2001"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	622	4590244	13.55
	"Arizona"	"04"	"2002"	"2002"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	336	4700133	7.15
	"Arizona"	"04"	"2002"	"2002"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1391	4700133	29.59
	"Arizona"	"04"	"2002"	"2002"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	284	4700133	6.04
	"Arizona"	"04"	"2002"	"2002"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	197	4700133	4.19
	"Arizona"	"04"	"2002"	"2002"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	719	4700133	15.30
	"Arizona"	"04"	"2003"	"2003"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	339	4798680	7.06
	"Arizona"	"04"	"2003"	"2003"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1342	4798680	27.97
	"Arizona"	"04"	"2003"	"2003"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	277	4798680	5.77
	"Arizona"	"04"	"2003"	"2003"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	212	4798680	4.42
	"Arizona"	"04"	"2003"	"2003"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	691	4798680	14.40
	"Arizona"	"04"	"2004"	"2004"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	364	4921780	7.40
	"Arizona"	"04"	"2004"	"2004"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1399	4921780	28.42
	"Arizona"	"04"	"2004"	"2004"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	298	4921780	6.05
	"Arizona"	"04"	"2004"	"2004"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	170	4921780	3.45
	"Arizona"	"04"	"2004"	"2004"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	721	4921780	14.65
	"Arizona"	"04"	"2005"	"2005"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	345	5082545	6.79
	"Arizona"	"04"	"2005"	"2005"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1486	5082545	29.24
	"Arizona"	"04"	"2005"	"2005"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	301	5082545	5.92
	"Arizona"	"04"	"2005"	"2005"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	234	5082545	4.60
	"Arizona"	"04"	"2005"	"2005"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	777	5082545	15.29
	"Arizona"	"04"	"2006"	"2006"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	388	5248877	7.39
	"Arizona"	"04"	"2006"	"2006"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1462	5248877	27.85
	"Arizona"	"04"	"2006"	"2006"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	339	5248877	6.46
	"Arizona"	"04"	"2006"	"2006"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	226	5248877	4.31
